Query,RetrievedDocuments
391,FT924-2198 FT933-1430 FT934-11876 FT923-11707 FT932-12403 FT931-10995 FT932-13547 FT932-13564 FT943-2494 FT941-14569 FT923-11712 FT932-13553 FT941-2054 FT931-2756 FT942-14413 FT941-6197 FT942-2835 FT921-7658 FT933-483 FT941-1824 FT934-2667 FT932-9586 FT942-14766 FT924-7380 FT934-10949 FT941-10432 FT941-1818 FT932-12941 FT941-12787 FT921-6427 FT924-9559 FT933-9289 FT934-11770 FT932-4504 LA091989-0013 FT934-6311 FT923-5219 FT932-13550 FBIS3-60116 FT931-11436 FT943-8070 FT932-170 FT943-3116 FT942-10816 FT924-648 FBIS4-67027 FR941202-0-00007 FT921-4262 FBIS3-41401 FT941-1666 FT941-7714 FT923-12548 FT923-3560 FT931-11157 FT942-17001 FT923-11711 FT941-1820 FT922-549 FT923-15307 FR940303-2-00056 FT934-11102 FT933-13003 FR940830-2-00059 FT931-8380 FT921-10075 FBIS4-67163 FT943-4983 FT924-2087 FT924-15793 LA120490-0138 FT921-2691 LA112689-0070 FBIS4-67326 FR941116-2-00049 FBIS3-21945 FT942-8823 FT941-12321 LA112689-0073 FT933-4021 FR940314-1-00041 FT933-9287 FT924-11213 FT932-13548 FT931-2855 FT923-11706 FT934-17362 FT943-13520 FBIS3-60017 FR940128-0-00034 FT943-45 FBIS3-50695 FT941-16660 FT923-11708 FT922-3363 FR940913-2-00019 FR940104-2-00033 FT923-11710 FT941-10462 LA100590-0001 FBIS4-56950
392,FT911-129 FT922-4578 FT922-4461 FT944-18195 FT922-4414 FBIS4-44650 FR941031-2-00050 FT922-9444 LA030589-0277 FBIS3-20967 FBIS3-1903 FBIS4-22880 FBIS4-44738 FBIS3-40516 FBIS3-1902 FT924-1130 FT931-6266 FBIS3-4413 FT924-11363 FT923-4779 FT934-14189 FT923-4774 LA092189-0061 FBIS3-20965 FBIS3-59639 FT942-13133 FT933-4691 FBIS3-40420 FT941-15546 FBIS4-44737 FBIS4-44855 FT911-135 LA020690-0057 FT924-1031 FT941-1242 FT932-769 FT944-15801 LA081490-0052 FBIS3-20966 FT923-11658 FBIS3-40351 FT921-7950 FBIS3-1764 FBIS4-44733 FT923-12990 FBIS3-58 FBIS4-44815 FBIS3-40531 FT941-12921 FT934-4378 FBIS3-43186 FBIS3-43132 FBIS3-46247 FBIS4-4159 FT923-14724 LA060289-0087 FT921-7109 FBIS3-40223 FT922-8032 FBIS3-3923 LA081389-0022 LA070289-0024 FT941-13625 FBIS3-40520 FBIS4-19 LA121190-0089 FBIS3-48260 FBIS3-40533 FBIS4-23084 LA082490-0060 FBIS4-47609 LA100889-0084 FT944-8186 FBIS3-23 FT911-3871 FBIS3-59512 FT934-8386 LA050290-0066 FT942-5669 FBIS4-44769 FT934-5377 FT933-2180 FBIS4-42 FT922-10029 FT921-8893 FBIS3-24653 FT931-9142 FBIS4-47629 LA042689-0150 LA080490-0157 FT944-17268 FT923-7461 FT942-13969 FT923-12263 FBIS3-43166 FBIS3-43220 FBIS4-20472 LA022490-0041 LA112189-0062 LA042990-0234
393,LA050689-0099 FT924-15580 LA090890-0037 LA091189-0107 LA080190-0135 LA111089-0028 FBIS3-42218 LA010990-0051 LA122689-0126 LA122790-0176 LA022489-0111 LA092289-0100 LA032790-0058 LA060189-0203 LA121490-0163 FT933-15573 LA070889-0049 LA122789-0073 LA072290-0030 LA061690-0003 LA100190-0028 FT931-8050 LA121789-0060 FBIS4-27824 LA111089-0029 LA040390-0039 FBIS3-13312 FT933-11091 FT911-4527 FT941-8028 FT924-14248 LA011089-0095 LA032289-0026 LA101789-0041 FBIS4-48682 LA052590-0178 FT934-5747 LA022389-0221 LA061090-0035 FBIS3-60941 LA032989-0117 FBIS4-48277 FT933-3875 FT934-11473 FT921-9816 LA061990-0063 LA032290-0008 FBIS4-11145 FT924-15889 LA042889-0176 FT933-3047 FBIS3-6672 LA062289-0065 LA030189-0042 LA091790-0057 LA061990-0142 FBIS3-27579 LA080190-0103 FT941-11155 FBIS3-602 LA051689-0033 FT922-2975 LA111289-0102 LA060489-0092 FT944-10888 LA090690-0230 LA080889-0077 FBIS3-13826 LA062589-0193 LA100590-0070 LA042390-0087 LA042389-0002 LA052789-0037 FT943-10095 FBIS4-24379 FT942-13566 FT933-2803 FT923-10485 LA080990-0003 FT943-15255 LA071389-0015 LA011590-0030 FT932-4843 FBIS4-43927 LA032090-0043 FBIS4-43969 LA040789-0168 FBIS4-58226 FBIS4-7379 FT922-10210 FBIS4-28901 FT934-13141 FT944-553 FBIS3-39309 FT933-14577 LA081589-0104 LA032790-0148 FBIS3-7 LA040989-0124 FT923-9018
394,FBIS3-26642 LA031190-0045 FBIS4-48308 FT942-14900 FT942-9445 FT921-2818 FT921-4824 FT944-16265 FT932-7548 FT921-5773 LA041290-0089 FT944-16270 FBIS3-3910 FT942-208 LA111889-0098 FR941219-2-00053 FBIS4-66261 FR940513-1-00109 FT922-770 LA012890-0118 FT944-4861 FT911-2266 LA081889-0107 FT932-14272 FR940725-0-00064 FT933-10701 FT934-11565 LA052189-0141 FT911-788 FT921-13152 FT942-15273 FBIS3-32955 FT921-16055 FT941-12258 LA021689-0085 FBIS3-51398 FBIS3-46231 FT932-9552 FBIS3-1736 FT924-9247 FR940610-2-00228 FT932-14490 FT932-5529 FT922-6600 FT933-11265 LA110890-0003 FT932-12899 LA110890-0095 LA102190-0090 LA052189-0047 FT934-8373 FT932-16392 LA101890-0207 LA102590-0226 FT941-17152 FT942-17431 FBIS3-20548 FT934-14058 FT932-15930 FT943-4850 FBIS4-57468 LA060290-0115 FR940512-1-00111 FT941-16721 FT932-16036 FT932-15488 FT942-1411 FBIS3-1640 LA101289-0086 LA050490-0082 FT943-5308 LA032290-0170 FT921-13008 LA111290-0039 FT932-5509 LA042089-0180 FT931-12506 FT932-6486 FT921-4823 FBIS3-1780 FT931-14358 FT924-221 LA102890-0137 LA012890-0067 FT911-2030 LA121789-0102 FT932-10756 LA122789-0039 FT921-4473 LA010789-0133 FT941-17193 FT911-3230 LA101489-0015 FT932-5136 LA110289-0081 FT932-3141 FT932-11721 FT934-11522 LA082689-0111 LA032990-0042
395,FT934-9708 FBIS4-32817 FBIS3-10878 FT942-1754 FT942-13789 FBIS3-8 FBIS3-34176 FT942-7298 FT944-12438 FBIS4-9996 FT934-9895 FT943-4468 FBIS3-28010 FT933-7901 FBIS3-21296 FBIS4-51813 FT944-7303 FBIS3-33309 FBIS3-25921 FT932-2101 FT933-14609 FBIS4-56591 FT934-12157 FT921-6648 FT923-14219 FT931-5364 FBIS4-7744 FBIS4-57581 FT924-9868 FT921-8010 FT941-6132 FBIS4-21821 FT943-11047 FBIS3-10114 FT932-3423 FT922-4619 FBIS4-3625 FT943-44 FT932-679 FT934-7591 FT943-497 FBIS4-10983 FBIS4-50749 FT942-1533 FT911-2446 FBIS3-60900 FT932-3827 FT943-6049 FT924-8062 FT941-5407 FT924-12197 FBIS4-10915 LA092289-0068 FT922-1003 FT944-13218 FBIS4-2294 FT933-11090 FT911-3396 FT943-10839 FBIS4-24813 FT943-9994 FT911-663 FT922-10913 FT921-15886 FT943-9538 FT932-13562 FT933-15385 FT932-2961 FT944-14358 FT934-12416 FT923-5044 FBIS4-24711 FBIS4-25973 FBIS4-52601 FT943-3798 FT943-11867 FBIS4-10907 FBIS4-25756 FT931-4997 FBIS4-11452 FBIS4-56176 LA111989-0022 FT943-11956 LA032489-0175 FBIS3-44474 FT931-887 FT933-2521 FT932-5695 LA073190-0122 FBIS4-49095 FT924-11890 FT943-8336 FBIS4-21828 FT934-13931 FT933-3290 FBIS4-28131 FT933-8438 FT924-11146 FT923-3223 FT941-4935
396,LA100690-0080 FT923-7392 FR940405-1-00035 FT923-9638 FT923-2548 FR940405-1-00040 FR940405-1-00077 FR940405-1-00054 FR940817-2-00243 FR940405-1-00092 FT923-4291 FR940405-1-00038 FT944-18520 LA112490-0149 LA042990-0140 FT924-15322 FR940405-1-00129 LA032190-0134 FR940405-1-00042 FR940405-1-00086 LA031489-0032 FBIS3-43068 FR940405-1-00039 FR941202-0-00182 FT942-13474 FT934-11789 FT943-9083 FT934-11852 FT944-18523 FR940511-1-00104 FBIS3-61562 FT922-15527 FBIS3-13955 FT941-429 FR941220-0-00033 LA090789-0074 FBIS4-47578 FBIS3-41724 FT921-7987 LA060890-0112 FR940513-2-00261 FT934-10072 FR940405-1-00099 FR940406-2-00050 FR940405-1-00034 FT933-9825 LA011389-0043 FBIS4-47143 FR940810-0-00067 FT921-7658 FR940405-1-00098 LA062590-0052 FT934-11654 FT922-1782 LA062489-0059 LA021190-0024 FBIS4-1244 LA040590-0119 FT941-16914 FR940630-0-00124 FR940610-2-00072 FT932-11609 LA041089-0053 LA033089-0013 FR941202-0-00179 FR940405-1-00062 FT922-2333 FT931-795 FR940512-1-00110 FT931-8050 FT911-3526 LA062090-0050 FR940810-0-00121 FBIS3-60292 FT933-11998 FBIS4-67633 LA052290-0188 FR940512-1-00106 FT923-1719 FR940405-1-00055 FBIS3-22421 FT933-1024 FR940512-1-00092 FBIS4-51121 FR941202-0-00181 LA122189-0138 FT934-13364 FBIS3-24074 LA012689-0118 FR941202-0-00183 FT942-11804 FBIS3-22651 FBIS3-51398 LA112490-0152 LA121990-0109 LA060990-0069 FR940512-1-00091 FR940516-2-00067 FT931-8380 FT942-9640
397,LA052890-0061 LA020190-0022 FT944-5300 FT924-5855 FT911-242 LA030889-0034 FT944-15615 LA092590-0140 FT934-17162 LA061090-0062 LA111290-0111 LA072390-0100 LA020890-0157 LA060490-0081 FT934-17206 FT934-17200 LA120690-0090 LA071789-0107 FT941-14983 FT933-4422 LA110190-0045 LA072390-0101 FBIS4-67400 FT933-6557 LA060389-0097 FT933-9208 FBIS4-20567 LA121989-0061 FT932-541 FT933-7708 LA110890-0248 LA091989-0105 LA082389-0146 LA100789-0148 FBIS4-68611 FT921-3525 LA042889-0113 LA040190-0174 LA020790-0030 FT933-11224 FT933-7442 FT933-11586 FT933-4454 LA060989-0007 LA040990-0119 FT944-18257 FT933-12940 LA110290-0120 FT922-2265 FT933-13803 FT933-6355 LA011490-0160 FT922-8544 LA011289-0070 FT941-12792 FT933-4222 LA122790-0176 FT922-1300 LA110590-0131 LA013089-0100 FT933-14710 LA082389-0099 LA051889-0059 LA110690-0156 LA101290-0077 FT933-9542 FT942-12826 FT942-8077 FT933-9672 LA121690-0172 LA012590-0229 FT932-10258 FT934-6233 FT934-9409 FBIS3-47041 FT944-14409 FT932-17188 FT921-236 FT943-4475 FT933-8358 FT933-11583 LA072789-0134 FBIS4-44893 FT944-17283 LA081590-0134 FT932-1502 FT944-12691 LA031489-0124 LA020590-0119 FT934-9639 FT933-6560 FT933-10081 LA042090-0043 FT933-12074 FT933-13059 LA100790-0180 FT933-4206 FT932-4856 FT924-12512 LA051890-0016
398,FT923-9588 FT922-2550 LA060290-0124 FBIS4-6867 FBIS4-62141 FBIS4-67877 FBIS3-41011 FBIS3-16615 FBIS4-62127 FBIS4-20838 LA021290-0036 FBIS4-39667 FBIS3-40988 FBIS4-42880 LA052090-0017 FBIS4-30957 LA070989-0147 FBIS3-23561 FBIS3-42009 LA081090-0185 FBIS4-20933 FBIS4-43160 FT941-4932 FBIS3-59418 FBIS3-40475 LA100490-0081 LA111990-0119 FT941-16165 FT942-5102 FBIS3-41450 FBIS3-60738 FBIS4-14871 FT931-9636 FBIS4-9157 FT943-1029 FBIS4-43943 LA100290-0174 FBIS4-45120 FT922-15549 LA042889-0176 FT934-8386 FT923-4063 LA111390-0093 FBIS4-47642 FT942-1538 LA052589-0055 FBIS3-56360 FBIS3-42404 FT932-15917 FBIS4-39241 FBIS3-43170 FBIS3-43116 FBIS3-41050 FBIS4-67850 FBIS3-8048 FT924-808 FT944-11436 LA080690-0103 LA020489-0017 FT941-14166 FBIS3-42399 LA012089-0003 FT911-1963 FT924-14313 FBIS4-65614 LA060390-0238 FT933-4337 LA021390-0064 FBIS4-67767 FT944-10774 FBIS3-19264 FBIS3-14753 FBIS3-29 FBIS4-5690 FBIS3-37947 LA053089-0063 FT921-9857 FBIS4-66382 LA121090-0082 FBIS3-43142 FBIS3-43196 FBIS3-19996 LA112289-0045 FT941-2789 FBIS3-18519 FBIS3-38434 FBIS4-42783 FT943-10219 FBIS4-22433 FBIS3-43136 FBIS3-43190 FT942-8809 FBIS4-5602 FBIS4-66895 FBIS3-8499 FT924-1740 FT922-635 FBIS4-29 FBIS4-68220 LA112089-0031
399,FBIS4-46461 FBIS4-45777 FBIS4-20436 FBIS3-44552 FBIS3-2713 FBIS4-67760 LA072889-0038 FT934-7286 LA032389-0011 LA102990-0070 FBIS3-33324 LA051090-0143 FBIS3-1586 FBIS4-30212 FBIS4-2524 LA012289-0090 FBIS4-53603 LA081390-0001 FBIS3-1587 LA081390-0044 FBIS4-49902 FBIS3-61488 LA061889-0115 FR940214-1-00015 FBIS4-46590 LA032289-0033 FBIS3-23689 FBIS4-2223 FBIS3-45659 LA072989-0035 LA071789-0059 FBIS4-15861 FT944-4092 FBIS4-68330 FBIS3-6833 FBIS3-61490 FT944-11244 FBIS3-21019 FBIS3-61009 LA022190-0109 FBIS4-30369 FR940617-0-00106 FBIS4-20602 FT944-6974 FT922-9445 FBIS3-23688 FR940203-0-00057 FR941116-2-00016 FBIS4-29333 LA053190-0084 LA062290-0052 LA020190-0104 FBIS4-30362 FBIS4-16352 FT934-1403 FBIS4-21536 FBIS4-21350 FBIS3-2205 FBIS3-59756 FT943-8618 FBIS4-16351 LA081389-0033 FT943-6374 LA061789-0038 LA061090-0021 LA010889-0039 LA112289-0037 FBIS4-16797 FR940325-1-00024 FT944-9398 LA030589-0073 LA011989-0203 FR940811-0-00045 FBIS4-20917 FBIS4-25899 FR940217-2-00013 FBIS3-48262 FR940617-0-00104 FBIS4-30213 LA022789-0086 LA101589-0091 LA012790-0112 FR940907-2-00008 FR940603-0-00062 FBIS3-4834 FBIS4-54032 FT922-5507 FR940617-0-00107 FBIS4-6549 FBIS4-16562 FBIS3-36651 FBIS4-7391 LA011489-0138 FT923-10880 FT923-10042 FBIS4-53276 LA102490-0130 FT944-2053 FT944-1847 FBIS3-40388
400,LA070890-0117 FBIS4-34521 LA101589-0017 LA050789-0087 FT924-12989 LA121390-0112 FT922-5108 LA092390-0004 LA040789-0077 LA121890-0005 LA032590-0089 FBIS4-45689 LA061790-0153 LA121290-0147 FBIS3-41589 LA121489-0128 LA012289-0052 FBIS4-9972 FBIS3-10660 FBIS3-41590 LA012289-0165 FT931-5666 FT921-9393 LA121489-0140 FT921-9497 LA042389-0057 FT922-5538 FT943-16062 FBIS4-67420 FBIS4-67424 FT942-1953 FT943-12730 FT931-6077 FT922-5621 FBIS4-10985 FT944-10636 LA060989-0041 FT931-6615 FBIS3-41436 FT924-9727 FT922-8533 FT921-1694 LA100290-0091 FT934-5297 FT922-5106 LA071290-0117 LA102390-0098 FT921-7563 FT921-14181 FT921-15902 LA072990-0083 FBIS4-57381 FT924-4583 FT921-3082 FT933-3607 FT944-6336 FBIS4-67558 LA101490-0183 FBIS4-57495 LA121490-0163 FT922-7175 FT921-9394 FT923-9245 LA031289-0053 FBIS3-22312 FT922-8377 FBIS3-41591 FT922-4626 LA102089-0101 FT941-11860 LA041589-0028 FT921-3723 FBIS4-45613 FBIS3-60270 LA060990-0018 FBIS3-12000 FT922-5095 FT933-5902 FT922-7829 FT941-6115 FT931-10187 FBIS4-21447 LA060890-0004 FT922-3429 FR941202-0-00171 FBIS4-34063 FT922-2814 FBIS3-33291 FT924-2556 FT922-5104 FBIS4-9733 LA011889-0058 FT942-9110 FT924-2553 FBIS4-67419 FBIS3-22320 FT921-12213 FT922-1237 FBIS4-67421 LA072789-0014
